doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;May 30, 2024;"<b>Alyssa Carson, age 19, “made history by mastering all of NASA's rigorous tests.”</b> <br><br>The claim that Alyssa Carson, 19, mastered all NASA tests is unsupported. As of May 2024, she had not passed all NASA tests and was not in NASA’s Astronaut Candidate Selection Program.
- NASA said she was not an official participant in May 2024.
- Her father noted inaccuracies about posts describing her training and status.
- She trained through a private citizens’ group at NASA, ESA, CSA.
- This was not participation in NASA’s Astronaut Candidate Selection Program.
- Posts called her 19, but she was 23 in May 2024.";;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;NN;1
2;Nov. 8, 2025;<b>Alyssa Carson, age 19, “made history by mastering all of NASA's rigorous tests.”</b> <br><br> Dr. Nia Patel, an aerospace program analyst, opens NASA’s statement and frowns. The online claim that Alyssa Carson, 19, mastered all NASA tests for a Mars flight does not hold up. NASA confirmed she was not in its Astronaut Candidate Selection Program as of May 2024. On her screen, a Snopes interview quotes Carson’s father noting inaccuracies and explaining she trained through a private citizens’ research group at NASA, ESA, and CSA facilities. Nia circles the age line in the posts, which list 19, though she was 23 at publication. These points show she had not passed all NASA tests or joined the program. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Teller;1
3;Sept. 18, 2024;<b>Alyssa Carson, age 19, “made history by mastering all of NASA's rigorous tests.”</b> <br><br> Following a clear verification path, we compared official statements with the viral posts. We started with NASA’s confirmation that Alyssa Carson was not in the Astronaut Candidate Selection Program as of May 2024. We also reviewed a Snopes interview quoting her father, who flagged inaccuracies and described private citizens’ research training at NASA, ESA, and CSA facilities. We then checked the posts’ age line, which called her 19, even though she was 23 at publication. Taken together, these records undercut the claim that she mastered all NASA tests for a Mars flight and show she had not passed all such tests nor entered the program. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Route;1
4;Dec. 20, 2025;<b>Alyssa Carson, age 19, “made history by mastering all of NASA's rigorous tests.”</b> <br><br> Which NASA tests were supposedly mastered remains unspecified in the circulating posts. What is clear, when looking at the evidence, is that NASA confirmed Alyssa Carson was not in its Astronaut Candidate Selection Program as of May 2024. Her father also told Snopes there were inaccuracies and that she trained through a private citizens’ research group at NASA, ESA, and CSA facilities. When comparing these details with the posts that call her 19, a contrast appears, since she was 23 at publication. This leaves a gap between the sweeping phrase all NASA tests and the documented facts about her status and training. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Unknowns;1
5;March 9, 2024;<b>Alyssa Carson, age 19, “made history by mastering all of NASA's rigorous tests.”</b> <br><br> Confusion spread because private training at agency facilities looked like official NASA testing. As the claim circulated, the posts called Alyssa Carson 19, and that outdated detail made the story sound authoritative. In reality, NASA confirmed she was not in its Astronaut Candidate Selection Program as of May 2024, which means she had not passed all NASA tests. Her father’s comments to Snopes reinforced that point, noting inaccuracies and explaining she trained through a private citizens’ research group at NASA, ESA, and CSA facilities. The mix of informal training cues and an old age reference led people to overstate her status. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Explanation;1
6;April 25, 2024;"The claim that Iceland installed foldable, solar-powered shelter pods for homeless people is not supported by credible evidence. Available information shows no such installations in Iceland. The story recycles descriptions from known fabrications and small pilot projects.
- Google searches find no credible reporting, only repeating social posts.
- Pod details mirror earlier fabricated German homeless pod stories.
- Those fabrications were shared by Fact 27 and similar feel-good pages.
- Comparable pods exist only in small pilots elsewhere.
- Ulm’s Ulmer Nest built just two prototypes under evaluation.
- UK charity Amazing Grace Spaces runs limited-use emergency sleeper pods.";;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;NN;
7;June 1, 2024;Maya Patel, a social policy researcher, examines the Iceland pod posts. On her screen, a simple search turns up no credible reports, just the same story echoed across social media. She notices the pod description matches previously fabricated stories about supposed German homeless pods circulated by Fact 27 and other pages known for fake feel-good innovations. The parallels feel too neat to be real. When she cross-references what does exist, she finds only small, limited examples elsewhere, including Ulm’s solar-powered Ulmer Nest with just two prototypes and a UK charity’s emergency sleeper pods from Amazing Grace Spaces. Her conclusion is direct and consistent with the evidence. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Teller;
8;April 8, 2021;To verify the claim, we followed a straightforward path through public sources. A Google scan of search results pages showed no credible reporting and only the same assertion repeated in social posts. We compared the pod description to earlier fabricated German homeless pod stories shared by Fact 27 and other pages known for fake feel-good innovations. We also checked descriptions of real but limited concepts elsewhere, including Ulm’s solar-powered Ulmer Nest with two prototypes and a UK charity’s emergency sleeper pods from Amazing Grace Spaces. Together, these steps reveal no Iceland installation behind the viral posts. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Route;
9;Dec. 17, 2024;One limit is that the origin of the Iceland alleyway pod story remains unclear. When looking at the evidence, what is known is firmer than what is unknown. A Google search turns up no credible evidence of installations, only duplicated posts repeating the same story. The pod description aligns with previously fabricated stories about German homeless pods promoted by Fact 27 and other pages known for fake feel-good innovations. By contrast, projects that do exist are small and elsewhere, like Ulm’s Ulmer Nest with two prototypes and Amazing Grace Spaces’ limited-use emergency pods in the UK. This leaves no verified program in Iceland despite the rumor. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Unknowns;
10;Sept. 29, 2025;Confusion thrives because real-looking pilot gadgets and recycled fabrications make bold claims feel plausible. As the Iceland alleyway pod story circulated, its description mirrored previously fabricated German homeless pod posts from Fact 27 and similar feel-good pages, which can lend a sheen of credibility. The idea also resembles small projects that exist elsewhere, such as Ulm’s solar-powered Ulmer Nest with just two prototypes and a UK charity’s limited-use emergency pods from Amazing Grace Spaces. That mix can blur lines between pilots, fabrications, and confirmed programs. There is no credible evidence of any Iceland installation, only the story echoed across social media. FACT-CHECKED: FALSE.;;;1;2;3;Snopes;Snopes.com;An independent fact-checking website founded in 1994 that investigates urban legends, misinformation, rumors, and viral claims circulating online and in the media.;https://www.snopes.com/design/images/logo-main.png;10000;0;0;;Explanation;
