doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;01.03.22 06:00;Trump said Denmark has no written documents owning Greenland;https://cdn.factcheck.org/UploadedFiles/GreenlandFull.jpg;Trump claims Denmark has “no written documents” proving ownership of Greenland, questioning Danish sovereignty.;15;6;2;NatureFanatic;NatureFanatic88;Lover of all things nature. Exploring one national park at a time.;https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4523;0;0;;Headline;1
2;01.03.22 06:00;Edited mural replaced Bob Dylan with Iran’s leader;https://images.unsplash.com/photo-1590790605792-f4683a8261b8?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;A viral image claimed a Minneapolis Bob Dylan mural was altered to replace Dylan with Iran’s Supreme Leader.;7;0;0;WanderlustGal;WanderlustGalTravel;Travel blogger capturing the wonders of the world.;https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;15600;0;0;;Headline;2
3;01.03.22 06:00;Minnesota gun law bans carrying firearms at protests;https://cdn.factcheck.org/UploadedFiles/Kash-400-x-267.png;Officials claim Minnesota law bans carrying firearms at protests following a Minneapolis shooting.;10;3;0;TrailTrekker;TrailTrekkerLife;Adventure seeker on a mission to hike the globe's most scenic routes.;https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;3721;0;0;;Headline;3
4;01.03.22 06:00;Viral social media posts mislabel Minneapolis shooting images;https://dims.apnews.com/dims4/default/83d9eb1/2147483647/strip/true/crop/7608x5069+0+1/resize/980x653!/format/webp/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fcf%2Fc6%2Fab49a2ac247e8c5c0c7d121be5e9%2F7d9d935228fb441195d0d60f07fc60a6;Photos shared online misidentify individuals and scenes related to the Minneapolis shooting of Alex Pretti.;13;2;0;EcoEnthusiast;EcoEnthusiast;Passionate about wildlife conservation and eco-friendly travels.;https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;9832;0;0;;Headline;4
5;01.03.22 06:00;Trump said Denmark has no written documents owning Greenland;https://cdn.factcheck.org/UploadedFiles/GreenlandFull.jpg;WARNING - FALSE: Trump claims Denmark has “no written documents” proving ownership of Greenland, questioning Danish sovereignty.;15;6;2;NatureFanatic;NatureFanatic88;Lover of all things nature. Exploring one national park at a time.;https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4523;0;0;;Warning_label;1
6;22.03.22 08:30;Edited mural replaced Bob Dylan with Iran’s leader;https://images.unsplash.com/photo-1590790605792-f4683a8261b8?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;WARNING - FALSE:A viral image claimed a Minneapolis Bob Dylan mural was altered to replace Dylan with Iran’s Supreme Leader.;7;0;0;WanderlustGal;WanderlustGalTravel;Travel blogger capturing the wonders of the world.;https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;15600;0;0;;Warning_label;2
7;22.03.22 08:30;Minnesota gun law bans carrying firearms at protests;https://cdn.factcheck.org/UploadedFiles/Kash-400-x-267.png;WARNING - FALSE:Officials claim Minnesota law bans carrying firearms at protests following a Minneapolis shooting.;10;3;0;TrailTrekker;TrailTrekkerLife;Adventure seeker on a mission to hike the globe's most scenic routes.;https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;3721;0;0;;Warning_label;3
8;22.03.22 08:30;Viral social media posts mislabel Minneapolis shooting images;https://dims.apnews.com/dims4/default/83d9eb1/2147483647/strip/true/crop/7608x5069+0+1/resize/980x653!/format/webp/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fcf%2Fc6%2Fab49a2ac247e8c5c0c7d121be5e9%2F7d9d935228fb441195d0d60f07fc60a6;WARNING - FALSE:Photos shared online misidentify individuals and scenes related to the Minneapolis shooting of Alex Pretti.;13;2;0;EcoEnthusiast;EcoEnthusiast;Passionate about wildlife conservation and eco-friendly travels.;https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;9832;0;0;;Warning_label;4
9;22.03.22 08:30;Trump said Denmark has no written documents owning Greenland;https://cdn.factcheck.org/UploadedFiles/GreenlandFull.jpg;FACT-CHECKED FALSE: Trump’s assertion that there are no written documents establishing Denmark’s sovereignty over Greenland is false. Historical treaties and an international court ruling demonstrate written evidence of Danish control.;15;6;2;NatureFanatic;NatureFanatic88;Lover of all things nature. Exploring one national park at a time.;https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;4523;0;0;;Fact_check_nonnarrative;1
10;22.03.22 08:30;Edited mural replaced Bob Dylan with Iran’s leader;https://images.unsplash.com/photo-1590790605792-f4683a8261b8?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;FACT-CHECKED FALSE: The image circulating is edited. The original mural shows Bob Dylan and has not been replaced by a picture of Iran’s leader.;7;0;0;WanderlustGal;WanderlustGalTravel;Travel blogger capturing the wonders of the world.;https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;15600;0;0;;Fact_check_nonnarrative;2
